epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7777,2.79755,2.73481,2.07019,0.01595,0.4168,0.05187,0.02046,2.78403,3.19758,2.18682,0.000653846,0.000653846,0.000653846
2,84.3634,2.17568,1.82224,1.48548,0.43717,0.51823,0.4461,0.17821,1.99992,1.88959,1.35834,0.00123336,0.00123336,0.00123336
3,125.697,2.11082,1.71897,1.40444,0.49224,0.50389,0.46665,0.17611,1.95359,2.0117,1.33209,0.00172487,0.00172487,0.00172487
4,162.053,2.04914,1.66697,1.36309,0.43848,0.53556,0.47042,0.19052,1.96481,2.15176,1.36375,0.001604,0.001604,0.001604
5,198.574,2.00184,1.62324,1.34626,0.53475,0.51322,0.5367,0.23352,1.89107,1.60269,1.35173,0.001472,0.001472,0.001472
6,258.118,1.94363,1.64807,1.36546,0.53082,0.52722,0.55607,0.23537,1.90795,1.57479,1.32027,0.00134,0.00134,0.00134
7,290.647,1.92933,1.58354,1.34672,0.51094,0.5381,0.53111,0.20881,1.95403,1.59834,1.32135,0.001208,0.001208,0.001208
8,325.145,1.89767,1.55483,1.32011,0.53191,0.56299,0.56946,0.25049,1.82806,1.60505,1.26412,0.001076,0.001076,0.001076
9,364.154,1.89215,1.51197,1.31515,0.5247,0.56921,0.55068,0.2278,1.90563,1.55977,1.35069,0.000944,0.000944,0.000944
10,392.985,1.88119,1.51724,1.31313,0.55105,0.56143,0.57495,0.25616,1.79465,1.55478,1.23959,0.000812,0.000812,0.000812
11,425.857,1.84222,1.47299,1.29837,0.54855,0.53101,0.56467,0.24457,1.83032,1.54028,1.2482,0.00068,0.00068,0.00068
12,453.986,1.82629,1.46057,1.28765,0.57184,0.57854,0.60947,0.27372,1.80341,1.46498,1.25987,0.000548,0.000548,0.000548
13,482.743,1.83495,1.42987,1.28287,0.58063,0.59253,0.60879,0.2788,1.79473,1.45357,1.26116,0.000416,0.000416,0.000416
14,513.664,1.80834,1.40503,1.26137,0.61949,0.5773,0.62317,0.28311,1.7935,1.42895,1.25435,0.000284,0.000284,0.000284
15,547.888,1.795,1.38646,1.26507,0.58503,0.58942,0.61827,0.27611,1.82882,1.43501,1.27864,0.000152,0.000152,0.000152
