epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2098,4.50112,3.53224,3.45516,0.16143,0.21462,0.10412,0.02666,3.15866,2.4595,2.52901,0.00066343,0.00066343,0.00066343
2,66.1584,3.00904,2.30049,2.30883,0.24785,0.34992,0.21809,0.06305,2.61372,2.17359,2.0757,0.00124231,0.00124231,0.00124231
3,97.2478,2.76578,2.12089,2.05644,0.34039,0.40902,0.31765,0.10783,2.39096,2.03699,1.87511,0.00173319,0.00173319,0.00173319
4,128.205,2.60207,1.99696,1.8919,0.41371,0.40902,0.36389,0.13481,2.33919,1.86688,1.8064,0.001604,0.001604,0.001604
5,160.829,2.5351,1.92957,1.85469,0.37548,0.41524,0.34145,0.11439,2.48837,1.89515,1.84051,0.001472,0.001472,0.001472
6,218.163,2.42496,1.99045,1.89199,0.41432,0.44777,0.38282,0.12977,2.32422,1.83066,1.75884,0.00134,0.00134,0.00134
7,250.836,2.37404,1.93299,1.8415,0.44355,0.44323,0.41848,0.15663,2.18984,1.77255,1.67686,0.001208,0.001208,0.001208
8,282.872,2.30956,1.87463,1.7856,0.47942,0.42768,0.41628,0.15322,2.1537,1.80956,1.67513,0.001076,0.001076,0.001076
9,314.172,2.32042,1.84097,1.7878,0.46607,0.45885,0.42789,0.15822,2.11466,1.76874,1.65941,0.000944,0.000944,0.000944
10,346.115,2.26914,1.80775,1.75412,0.48537,0.48991,0.47202,0.18827,2.06838,1.65903,1.60564,0.000812,0.000812,0.000812
11,378.952,2.25711,1.80704,1.74869,0.48304,0.48056,0.47692,0.18784,2.03713,1.67175,1.578,0.00068,0.00068,0.00068
12,412.09,2.24553,1.75165,1.71839,0.43562,0.48989,0.41239,0.16372,2.03691,1.69082,1.58489,0.000548,0.000548,0.000548
13,444.441,2.19349,1.71343,1.68271,0.46769,0.47123,0.45757,0.18238,2.06781,1.654,1.59943,0.000416,0.000416,0.000416
14,477.286,2.1733,1.70444,1.65858,0.53095,0.53344,0.51614,0.20926,1.99952,1.57149,1.55213,0.000284,0.000284,0.000284
15,509.877,2.15889,1.66829,1.65587,0.53592,0.50286,0.52477,0.21342,1.98053,1.56936,1.55116,0.000152,0.000152,0.000152
