epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.689,2.24164,2.47248,1.51732,0.37523,0.29142,0.26392,0.07536,2.17429,2.48467,1.40531,0.000653846,0.000653846,0.000653846
2,372.091,2.04367,1.88667,1.44164,0.50328,0.39969,0.38766,0.15249,1.91384,2.13815,1.34832,0.00118978,0.00118978,0.00118978
3,413.528,1.98591,1.7521,1.40394,0.40685,0.4168,0.38074,0.16443,1.91581,2.07405,1.38664,0.00159372,0.00159372,0.00159372
4,457.105,1.93593,1.6755,1.35887,0.41086,0.45879,0.36834,0.12451,2.119,1.82413,1.44084,0.001406,0.001406,0.001406
5,493.015,1.91189,1.63886,1.3512,0.42773,0.51147,0.43939,0.16817,1.96598,1.73347,1.34567,0.001208,0.001208,0.001208
6,534.231,1.87917,1.58096,1.32747,0.50363,0.58069,0.55157,0.24448,1.81049,1.58674,1.28637,0.00101,0.00101,0.00101
7,570.814,1.87555,1.56623,1.32649,0.53397,0.53188,0.53217,0.22836,1.85991,1.62352,1.32655,0.000812,0.000812,0.000812
8,611.61,1.83044,1.5071,1.30068,0.54781,0.58165,0.58077,0.25762,1.80325,1.53949,1.26432,0.000614,0.000614,0.000614
9,646.901,1.81373,1.46105,1.29019,0.60821,0.54588,0.59202,0.27009,1.76887,1.49924,1.27446,0.000416,0.000416,0.000416
10,675.982,1.80441,1.44569,1.27071,0.53038,0.59253,0.58063,0.2669,1.76466,1.49953,1.25365,0.000218,0.000218,0.000218
